Gen_No,Training,Test
0,0.352593,0.418306
1,0.352593,0.418306
2,0.366535,0.447169
3,0.371912,0.418306
4,0.374032,0.35646
5,0.382847,0.437923
6,0.393807,0.42283
7,0.405978,0.471211
8,0.448636,0.416771
9,0.448636,0.416771
10,0.448636,0.416771
11,0.472696,0.468464
12,0.527967,0.485026
13,0.527967,0.485026
14,0.538618,0.483841
15,0.538618,0.483841
16,0.538618,0.483841
17,0.538618,0.483841
18,0.538618,0.483841
19,0.538618,0.483841
20,0.538618,0.483841
21,0.538618,0.483841
22,0.545515,0.518669
23,0.545515,0.518669
24,0.546527,0.379524
25,0.546527,0.379524
26,0.546527,0.379524
27,0.551727,0.492733
28,0.551727,0.492733
29,0.551727,0.492733
30,0.551727,0.492733
31,0.551727,0.492733
32,0.551727,0.492733
33,0.551727,0.492733
34,0.558319,0.518669
35,0.558319,0.518669
36,0.565057,0.501396
37,0.565057,0.501396
38,0.565057,0.501396
39,0.565057,0.501396
40,0.565057,0.501396
41,0.565057,0.501396
42,0.566313,0.518669
43,0.566313,0.548081
44,0.566313,0.548081
45,0.566313,0.548081
46,0.566313,0.518669
47,0.566313,0.518669
48,0.566313,0.518669
49,0.566313,0.548081
50,0.566313,0.548081
